iter	Passed	Remaining
0	4	4169
1	7	3902
2	11	3687
3	14	3664
4	18	3628
5	21	3571
6	24	3519
7	28	3511
8	32	3534
9	35	3507
10	38	3484
11	41	3430
12	45	3422
13	48	3424
14	51	3413
15	55	3424
16	59	3451
17	63	3456
18	67	3459
19	70	3458
20	74	3456
21	78	3480
22	82	3491
23	86	3508
24	90	3515
25	93	3512
26	98	3533
27	101	3514
28	104	3498
29	108	3506
30	111	3493
31	116	3511
32	120	3516
33	123	3510
34	128	3533
35	132	3545
36	136	3557
37	140	3550
38	143	3543
39	147	3550
40	150	3531
41	154	3528
42	158	3525
43	162	3521
44	166	3524
45	169	3523
46	173	3525
47	177	3525
48	181	3524
49	186	3536
50	189	3534
51	193	3535
52	198	3541
53	201	3526
54	205	3526
55	209	3524
56	213	3528
57	217	3527
58	221	3526
59	225	3529
60	228	3521
61	232	3517
62	236	3514
63	239	3508
64	244	3517
65	248	3513
66	251	3503
67	255	3505
68	259	3500
69	263	3501
70	266	3491
71	270	3486
72	274	3485
73	278	3480
74	281	3477
75	285	3473
76	289	3465
77	292	3462
78	296	3458
79	300	3457
80	304	3451
81	307	3447
82	311	3443
83	314	3434
84	318	3429
85	322	3425
86	326	3422
87	329	3416
88	333	3413
89	337	3408
90	341	3406
91	344	3403
92	348	3399
93	352	3398
94	356	3393
95	360	3390
96	363	3386
97	367	3384
98	372	3386
99	376	3384
100	379	3381
101	383	3374
102	387	3371
103	390	3367
104	394	3361
105	398	3363
106	402	3358
107	406	3357
108	411	3360
109	414	3352
110	418	3348
111	421	3345
112	425	3342
113	430	3342
114	433	3336
115	437	3336
116	441	3331
117	445	3332
118	450	3333
119	454	3334
120	459	3334
121	463	3334
122	467	3334
123	472	3337
124	476	3337
125	481	3341
126	486	3342
127	490	3342
128	495	3343
129	499	3342
130	503	3337
131	507	3334
132	511	3331
133	515	3328
134	518	3325
135	523	3323
136	527	3320
137	530	3315
138	534	3312
139	538	3308
140	542	3305
141	546	3300
142	549	3295
143	553	3291
144	556	3283
145	561	3281
146	564	3276
147	568	3273
148	572	3269
149	576	3267
150	580	3265
151	584	3262
152	587	3254
153	591	3251
154	595	3247
155	599	3241
156	603	3240
157	607	3239
158	611	3235
159	616	3234
160	619	3230
161	623	3225
162	626	3217
163	630	3213
164	634	3208
165	637	3202
166	641	3197
167	644	3191
168	647	3186
169	651	3180
170	654	3173
171	658	3171
172	662	3164
173	665	3160
174	669	3156
175	672	3150
176	676	3145
177	680	3141
178	684	3138
179	688	3136
180	691	3130
181	695	3126
182	699	3124
183	703	3119
184	707	3116
185	711	3112
